,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Gedung Siola,0.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,-4.0,4.0,-2.0,0.0,1.0,-1.0,1.0,1.0,-2.0,17.0,16.0,23.0,20.0,18.0,17.0,-5.0,11.0,19.0,12.0,0.0,-1.0,-5.0,-4.0,0.0,-4.0,-1.0,-2.0,-3.0,-1.0,3.0,3.0,-2.0,1.0,-2.0,-2.0,-5.0,-3.0,-3.0,-1.0,2.0,1.0,1.0,4.0,0.0
Pasar Blauran,-1.0,-1.0,-2.0,1.0,-2.0,-2.0,-2.0,-5.0,3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,16.0,15.0,22.0,19.0,17.0,16.0,-6.0,10.0,18.0,11.0,-1.0,-2.0,-6.0,-5.0,-1.0,-5.0,-2.0,-3.0,-4.0,-2.0,2.0,2.0,-3.0,0.0,-3.0,-3.0,-6.0,-4.0,-4.0,-2.0,1.0,0.0,0.0,3.0,-1.0
Jalan Basuki Rahmat,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Monumen Tugu Pahlawan,-1.0,-1.0,-2.0,1.0,-2.0,-2.0,-2.0,-5.0,3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,16.0,15.0,22.0,19.0,17.0,16.0,-6.0,10.0,18.0,11.0,-1.0,-2.0,-6.0,-5.0,-1.0,-5.0,-2.0,-3.0,-4.0,-2.0,2.0,2.0,-3.0,0.0,-3.0,-3.0,-6.0,-4.0,-4.0,-2.0,1.0,0.0,0.0,3.0,-1.0
Jalan Kedungdoro,-1.0,-1.0,-2.0,1.0,-2.0,-2.0,-2.0,-5.0,3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,16.0,15.0,22.0,19.0,17.0,16.0,-6.0,10.0,18.0,11.0,-1.0,-2.0,-6.0,-5.0,-1.0,-5.0,-2.0,-3.0,-4.0,-2.0,2.0,2.0,-3.0,0.0,-3.0,-3.0,-6.0,-4.0,-4.0,-2.0,1.0,0.0,0.0,3.0,-1.0
Taman Ekspresi,2.0,2.0,1.0,4.0,1.0,1.0,1.0,-2.0,6.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,19.0,18.0,25.0,22.0,20.0,19.0,-3.0,13.0,21.0,14.0,2.0,1.0,-3.0,-2.0,2.0,-2.0,1.0,0.0,-1.0,1.0,5.0,5.0,0.0,3.0,0.0,0.0,-3.0,-1.0,-1.0,1.0,4.0,3.0,3.0,6.0,2.0
Jalan Raya Darmo Permai,-17.0,-17.0,-18.0,-15.0,-18.0,-18.0,-18.0,-21.0,-13.0,-19.0,-17.0,-16.0,-18.0,-16.0,-16.0,-19.0,0.0,-1.0,6.0,3.0,1.0,0.0,-22.0,-6.0,2.0,-5.0,-17.0,-18.0,-22.0,-21.0,-17.0,-21.0,-18.0,-19.0,-20.0,-18.0,-14.0,-14.0,-19.0,-16.0,-19.0,-19.0,-22.0,-20.0,-20.0,-18.0,-15.0,-16.0,-16.0,-13.0,-17.0
Graha Famili Timur,-16.0,-16.0,-17.0,-14.0,-17.0,-17.0,-17.0,-20.0,-12.0,-18.0,-16.0,-15.0,-17.0,-15.0,-15.0,-18.0,1.0,0.0,7.0,4.0,2.0,1.0,-21.0,-5.0,3.0,-4.0,-16.0,-17.0,-21.0,-20.0,-16.0,-20.0,-17.0,-18.0,-19.0,-17.0,-13.0,-13.0,-18.0,-15.0,-18.0,-18.0,-21.0,-19.0,-19.0,-17.0,-14.0,-15.0,-15.0,-12.0,-16.0
Spazio Jalan Yono Soewoyo,-23.0,-23.0,-24.0,-21.0,-24.0,-24.0,-24.0,-27.0,-19.0,-25.0,-23.0,-22.0,-24.0,-22.0,-22.0,-25.0,-6.0,-7.0,0.0,-3.0,-5.0,-6.0,-28.0,-12.0,-4.0,-11.0,-23.0,-24.0,-28.0,-27.0,-23.0,-27.0,-24.0,-25.0,-26.0,-24.0,-20.0,-20.0,-25.0,-22.0,-25.0,-25.0,-28.0,-26.0,-26.0,-24.0,-21.0,-22.0,-22.0,-19.0,-23.0
Plaza Segi Delapan,-20.0,-20.0,-21.0,-18.0,-21.0,-21.0,-21.0,-24.0,-16.0,-22.0,-20.0,-19.0,-21.0,-19.0,-19.0,-22.0,-3.0,-4.0,3.0,0.0,-2.0,-3.0,-25.0,-9.0,-1.0,-8.0,-20.0,-21.0,-25.0,-24.0,-20.0,-24.0,-21.0,-22.0,-23.0,-21.0,-17.0,-17.0,-22.0,-19.0,-22.0,-22.0,-25.0,-23.0,-23.0,-21.0,-18.0,-19.0,-19.0,-16.0,-20.0
Jalan HR Muhammad,-18.0,-18.0,-19.0,-16.0,-19.0,-19.0,-19.0,-22.0,-14.0,-20.0,-18.0,-17.0,-19.0,-17.0,-17.0,-20.0,-1.0,-2.0,5.0,2.0,0.0,-1.0,-23.0,-7.0,1.0,-6.0,-18.0,-19.0,-23.0,-22.0,-18.0,-22.0,-19.0,-20.0,-21.0,-19.0,-15.0,-15.0,-20.0,-17.0,-20.0,-20.0,-23.0,-21.0,-21.0,-19.0,-16.0,-17.0,-17.0,-14.0,-18.0
Taman Pradah Kalikendal,-17.0,-17.0,-18.0,-15.0,-18.0,-18.0,-18.0,-21.0,-13.0,-19.0,-17.0,-16.0,-18.0,-16.0,-16.0,-19.0,0.0,-1.0,6.0,3.0,1.0,0.0,-22.0,-6.0,2.0,-5.0,-17.0,-18.0,-22.0,-21.0,-17.0,-21.0,-18.0,-19.0,-20.0,-18.0,-14.0,-14.0,-19.0,-16.0,-19.0,-19.0,-22.0,-20.0,-20.0,-18.0,-15.0,-16.0,-16.0,-13.0,-17.0
Kawasan Sukomanunggal,5.0,5.0,4.0,7.0,4.0,4.0,4.0,1.0,9.0,3.0,5.0,6.0,4.0,6.0,6.0,3.0,22.0,21.0,28.0,25.0,23.0,22.0,0.0,16.0,24.0,17.0,5.0,4.0,0.0,1.0,5.0,1.0,4.0,3.0,2.0,4.0,8.0,8.0,3.0,6.0,3.0,3.0,0.0,2.0,2.0,4.0,7.0,6.0,6.0,9.0,5.0
Jalan Raya Kupang Indah,-11.0,-11.0,-12.0,-9.0,-12.0,-12.0,-12.0,-15.0,-7.0,-13.0,-11.0,-10.0,-12.0,-10.0,-10.0,-13.0,6.0,5.0,12.0,9.0,7.0,6.0,-16.0,0.0,8.0,1.0,-11.0,-12.0,-16.0,-15.0,-11.0,-15.0,-12.0,-13.0,-14.0,-12.0,-8.0,-8.0,-13.0,-10.0,-13.0,-13.0,-16.0,-14.0,-14.0,-12.0,-9.0,-10.0,-10.0,-7.0,-11.0
Taman Makam Pahlawan Mayjen Sungkono,-19.0,-19.0,-20.0,-17.0,-20.0,-20.0,-20.0,-23.0,-15.0,-21.0,-19.0,-18.0,-20.0,-18.0,-18.0,-21.0,-2.0,-3.0,4.0,1.0,-1.0,-2.0,-24.0,-8.0,0.0,-7.0,-19.0,-20.0,-24.0,-23.0,-19.0,-23.0,-20.0,-21.0,-22.0,-20.0,-16.0,-16.0,-21.0,-18.0,-21.0,-21.0,-24.0,-22.0,-22.0,-20.0,-17.0,-18.0,-18.0,-15.0,-19.0
Ciputra World Surabaya,-12.0,-12.0,-13.0,-10.0,-13.0,-13.0,-13.0,-16.0,-8.0,-14.0,-12.0,-11.0,-13.0,-11.0,-11.0,-14.0,5.0,4.0,11.0,8.0,6.0,5.0,-17.0,-1.0,7.0,0.0,-12.0,-13.0,-17.0,-16.0,-12.0,-16.0,-13.0,-14.0,-15.0,-13.0,-9.0,-9.0,-14.0,-11.0,-14.0,-14.0,-17.0,-15.0,-15.0,-13.0,-10.0,-11.0,-11.0,-8.0,-12.0
Kampus B Unair,0.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,-4.0,4.0,-2.0,0.0,1.0,-1.0,1.0,1.0,-2.0,17.0,16.0,23.0,20.0,18.0,17.0,-5.0,11.0,19.0,12.0,0.0,-1.0,-5.0,-4.0,0.0,-4.0,-1.0,-2.0,-3.0,-1.0,3.0,3.0,-2.0,1.0,-2.0,-2.0,-5.0,-3.0,-3.0,-1.0,2.0,1.0,1.0,4.0,0.0
Jalan Dharmahusada,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Taman Mojo,5.0,5.0,4.0,7.0,4.0,4.0,4.0,1.0,9.0,3.0,5.0,6.0,4.0,6.0,6.0,3.0,22.0,21.0,28.0,25.0,23.0,22.0,0.0,16.0,24.0,17.0,5.0,4.0,0.0,1.0,5.0,1.0,4.0,3.0,2.0,4.0,8.0,8.0,3.0,6.0,3.0,3.0,0.0,2.0,2.0,4.0,7.0,6.0,6.0,9.0,5.0
Jalan Manyar Kertoarjo,4.0,4.0,3.0,6.0,3.0,3.0,3.0,0.0,8.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,21.0,20.0,27.0,24.0,22.0,21.0,-1.0,15.0,23.0,16.0,4.0,3.0,-1.0,0.0,4.0,0.0,3.0,2.0,1.0,3.0,7.0,7.0,2.0,5.0,2.0,2.0,-1.0,1.0,1.0,3.0,6.0,5.0,5.0,8.0,4.0
Kampus A Unair Kedokteran,0.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,-4.0,4.0,-2.0,0.0,1.0,-1.0,1.0,1.0,-2.0,17.0,16.0,23.0,20.0,18.0,17.0,-5.0,11.0,19.0,12.0,0.0,-1.0,-5.0,-4.0,0.0,-4.0,-1.0,-2.0,-3.0,-1.0,3.0,3.0,-2.0,1.0,-2.0,-2.0,-5.0,-3.0,-3.0,-1.0,2.0,1.0,1.0,4.0,0.0
Jalan Kertajaya Indah,4.0,4.0,3.0,6.0,3.0,3.0,3.0,0.0,8.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,21.0,20.0,27.0,24.0,22.0,21.0,-1.0,15.0,23.0,16.0,4.0,3.0,-1.0,0.0,4.0,0.0,3.0,2.0,1.0,3.0,7.0,7.0,2.0,5.0,2.0,2.0,-1.0,1.0,1.0,3.0,6.0,5.0,5.0,8.0,4.0
Taman Flora Bratang,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Taman Kebun Bibit Bratang,2.0,2.0,1.0,4.0,1.0,1.0,1.0,-2.0,6.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,19.0,18.0,25.0,22.0,20.0,19.0,-3.0,13.0,21.0,14.0,2.0,1.0,-3.0,-2.0,2.0,-2.0,1.0,0.0,-1.0,1.0,5.0,5.0,0.0,3.0,0.0,0.0,-3.0,-1.0,-1.0,1.0,4.0,3.0,3.0,6.0,2.0
Jalan Karang Menur,3.0,3.0,2.0,5.0,2.0,2.0,2.0,-1.0,7.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,20.0,19.0,26.0,23.0,21.0,20.0,-2.0,14.0,22.0,15.0,3.0,2.0,-2.0,-1.0,3.0,-1.0,2.0,1.0,0.0,2.0,6.0,6.0,1.0,4.0,1.0,1.0,-2.0,0.0,0.0,2.0,5.0,4.0,4.0,7.0,3.0
Kawasan Menur Pumpungan,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Jembatan Merah Surabaya,-3.0,-3.0,-4.0,-1.0,-4.0,-4.0,-4.0,-7.0,1.0,-5.0,-3.0,-2.0,-4.0,-2.0,-2.0,-5.0,14.0,13.0,20.0,17.0,15.0,14.0,-8.0,8.0,16.0,9.0,-3.0,-4.0,-8.0,-7.0,-3.0,-7.0,-4.0,-5.0,-6.0,-4.0,0.0,0.0,-5.0,-2.0,-5.0,-5.0,-8.0,-6.0,-6.0,-4.0,-1.0,-2.0,-2.0,1.0,-3.0
Kya-Kya Kembang Jepun,-3.0,-3.0,-4.0,-1.0,-4.0,-4.0,-4.0,-7.0,1.0,-5.0,-3.0,-2.0,-4.0,-2.0,-2.0,-5.0,14.0,13.0,20.0,17.0,15.0,14.0,-8.0,8.0,16.0,9.0,-3.0,-4.0,-8.0,-7.0,-3.0,-7.0,-4.0,-5.0,-6.0,-4.0,0.0,0.0,-5.0,-2.0,-5.0,-5.0,-8.0,-6.0,-6.0,-4.0,-1.0,-2.0,-2.0,1.0,-3.0
House of Sampoerna,2.0,2.0,1.0,4.0,1.0,1.0,1.0,-2.0,6.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,19.0,18.0,25.0,22.0,20.0,19.0,-3.0,13.0,21.0,14.0,2.0,1.0,-3.0,-2.0,2.0,-2.0,1.0,0.0,-1.0,1.0,5.0,5.0,0.0,3.0,0.0,0.0,-3.0,-1.0,-1.0,1.0,4.0,3.0,3.0,6.0,2.0
Stasiun Surabaya Kota (Semut),-1.0,-1.0,-2.0,1.0,-2.0,-2.0,-2.0,-5.0,3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,16.0,15.0,22.0,19.0,17.0,16.0,-6.0,10.0,18.0,11.0,-1.0,-2.0,-6.0,-5.0,-1.0,-5.0,-2.0,-3.0,-4.0,-2.0,2.0,2.0,-3.0,0.0,-3.0,-3.0,-6.0,-4.0,-4.0,-2.0,1.0,0.0,0.0,3.0,-1.0
Kawasan Ampel Suci,2.0,2.0,1.0,4.0,1.0,1.0,1.0,-2.0,6.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,19.0,18.0,25.0,22.0,20.0,19.0,-3.0,13.0,21.0,14.0,2.0,1.0,-3.0,-2.0,2.0,-2.0,1.0,0.0,-1.0,1.0,5.0,5.0,0.0,3.0,0.0,0.0,-3.0,-1.0,-1.0,1.0,4.0,3.0,3.0,6.0,2.0
Taman Jayengrono,2.0,2.0,1.0,4.0,1.0,1.0,1.0,-2.0,6.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,19.0,18.0,25.0,22.0,20.0,19.0,-3.0,13.0,21.0,14.0,2.0,1.0,-3.0,-2.0,2.0,-2.0,1.0,0.0,-1.0,1.0,5.0,5.0,0.0,3.0,0.0,0.0,-3.0,-1.0,-1.0,1.0,4.0,3.0,3.0,6.0,2.0
Jalan Rajawali,5.0,5.0,4.0,7.0,4.0,4.0,4.0,1.0,9.0,3.0,5.0,6.0,4.0,6.0,6.0,3.0,22.0,21.0,28.0,25.0,23.0,22.0,0.0,16.0,24.0,17.0,5.0,4.0,0.0,1.0,5.0,1.0,4.0,3.0,2.0,4.0,8.0,8.0,3.0,6.0,3.0,3.0,0.0,2.0,2.0,4.0,7.0,6.0,6.0,9.0,5.0
Gedung Cerutu,3.0,3.0,2.0,5.0,2.0,2.0,2.0,-1.0,7.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,20.0,19.0,26.0,23.0,21.0,20.0,-2.0,14.0,22.0,15.0,3.0,2.0,-2.0,-1.0,3.0,-1.0,2.0,1.0,0.0,2.0,6.0,6.0,1.0,4.0,1.0,1.0,-2.0,0.0,0.0,2.0,5.0,4.0,4.0,7.0,3.0
Jalan Kembang Jepun Timur,3.0,3.0,2.0,5.0,2.0,2.0,2.0,-1.0,7.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,20.0,19.0,26.0,23.0,21.0,20.0,-2.0,14.0,22.0,15.0,3.0,2.0,-2.0,-1.0,3.0,-1.0,2.0,1.0,0.0,2.0,6.0,6.0,1.0,4.0,1.0,1.0,-2.0,0.0,0.0,2.0,5.0,4.0,4.0,7.0,3.0
Kawasan Kapasan,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Taman Bungkul,-2.0,-2.0,-3.0,0.0,-3.0,-3.0,-3.0,-6.0,2.0,-4.0,-2.0,-1.0,-3.0,-1.0,-1.0,-4.0,15.0,14.0,21.0,18.0,16.0,15.0,-7.0,9.0,17.0,10.0,-2.0,-3.0,-7.0,-6.0,-2.0,-6.0,-3.0,-4.0,-5.0,-3.0,1.0,1.0,-4.0,-1.0,-4.0,-4.0,-7.0,-5.0,-5.0,-3.0,0.0,-1.0,-1.0,2.0,-2.0
Jalan Raya Darmo (CFD),-1.0,-1.0,-2.0,1.0,-2.0,-2.0,-2.0,-5.0,3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,16.0,15.0,22.0,19.0,17.0,16.0,-6.0,10.0,18.0,11.0,-1.0,-2.0,-6.0,-5.0,-1.0,-5.0,-2.0,-3.0,-4.0,-2.0,2.0,2.0,-3.0,0.0,-3.0,-3.0,-6.0,-4.0,-4.0,-2.0,1.0,0.0,0.0,3.0,-1.0
Kebun Binatang Surabaya,-1.0,-1.0,-2.0,1.0,-2.0,-2.0,-2.0,-5.0,3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,-3.0,16.0,15.0,22.0,19.0,17.0,16.0,-6.0,10.0,18.0,11.0,-1.0,-2.0,-6.0,-5.0,-1.0,-5.0,-2.0,-3.0,-4.0,-2.0,2.0,2.0,-3.0,0.0,-3.0,-3.0,-6.0,-4.0,-4.0,-2.0,1.0,0.0,0.0,3.0,-1.0
Patung Suro dan Boyo,-4.0,-4.0,-5.0,-2.0,-5.0,-5.0,-5.0,-8.0,0.0,-6.0,-4.0,-3.0,-5.0,-3.0,-3.0,-6.0,13.0,12.0,19.0,16.0,14.0,13.0,-9.0,7.0,15.0,8.0,-4.0,-5.0,-9.0,-8.0,-4.0,-8.0,-5.0,-6.0,-7.0,-5.0,-1.0,-1.0,-6.0,-3.0,-6.0,-6.0,-9.0,-7.0,-7.0,-5.0,-2.0,-3.0,-3.0,0.0,-4.0
Kawasan Kampus Ketintang Unesa,0.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,-4.0,4.0,-2.0,0.0,1.0,-1.0,1.0,1.0,-2.0,17.0,16.0,23.0,20.0,18.0,17.0,-5.0,11.0,19.0,12.0,0.0,-1.0,-5.0,-4.0,0.0,-4.0,-1.0,-2.0,-3.0,-1.0,3.0,3.0,-2.0,1.0,-2.0,-2.0,-5.0,-3.0,-3.0,-1.0,2.0,1.0,1.0,4.0,0.0
