,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Gedung Siola,727.11,1462.35,437.32,662.84,1176.88,1829.81,1303.54,2617.94,2651.23,1400.42,0.0,1257.15,3395.8,1518.38,1610.44,1621.17,8562.79,9216.84,9509.88,8966.7,7928.06,8853.01,6119.09,6989.89,6266.92,5911.13,3199.61,4047.65,4825.55,4903.25,2964.63,6121.66,6784.63,6544.52,4246.02,6769.37,3921.09,3073.54,3975.22,2836.99,4720.78,3174.6,3137.15,3174.6,3212.34,3282.15,4813.53,4251.7,6570.74,5676.78,8391.19
Pasar Blauran,1009.22,1744.46,719.43,944.95,1458.99,2111.92,1585.66,2900.05,2933.34,1682.54,282.11,0.0,2815.9,1214.37,860.04,1903.29,7725.14,8379.19,8763.95,8220.76,7182.13,8015.36,5373.15,6152.24,5429.27,5132.62,3481.73,4329.76,5107.66,5185.36,3246.75,6403.78,7066.75,6826.64,4528.13,7051.49,3774.01,2769.53,3671.2,2532.97,4573.7,2870.58,2833.13,2870.58,3185.54,3564.26,5095.65,4533.81,6443.46,5937.96,8652.37
Jalan Basuki Rahmat,2576.33,3311.58,2286.54,2512.06,3026.1,3679.03,3152.77,4467.16,4500.45,3249.65,1849.22,1567.11,0.0,2781.48,1893.04,3470.4,7873.24,8527.3,9421.26,8878.08,7415.69,8163.46,6030.47,6300.35,5577.38,5280.72,5048.84,5896.87,6674.77,6752.47,4813.86,7970.89,7734.96,7494.85,6095.24,8423.26,5341.12,4336.64,5238.31,4100.08,6140.81,4437.69,4400.24,4437.69,4752.65,5131.37,5472.86,5166.23,6591.57,6086.06,8800.47
Monumen Tugu Pahlawan,2495.95,3231.19,2206.16,2431.68,2945.72,3598.65,3072.39,4319.77,4420.07,3102.26,2611.37,2329.25,4580.33,0.0,2060.11,2907.2,9093.02,9747.08,9741.2,9198.01,8159.38,9383.24,6113.08,7520.13,6797.16,6500.5,4901.45,5749.49,6527.39,6605.09,4666.47,7823.5,8553.47,8313.36,5947.85,8471.21,2559.64,1555.16,2456.84,1318.6,3359.33,1656.22,1618.77,1656.22,1971.17,2575.69,6582.37,6020.54,7811.35,7305.84,10020.25
Jalan Kedungdoro,1869.26,2604.51,1579.48,1805.0,2319.03,2971.96,2445.7,3760.09,3793.39,2542.58,1142.16,860.04,2587.33,2074.41,0.0,2763.33,7259.83,7913.89,7978.63,7435.45,6396.82,7550.05,4587.84,5686.94,4963.97,4667.31,4341.77,5189.81,5967.71,6045.41,4106.79,7263.82,7284.59,7044.48,5388.17,7911.53,4634.05,3629.57,4531.24,3393.01,5433.74,3730.62,3693.18,3730.62,4045.58,4424.3,4859.45,4715.86,5978.16,5472.65,8187.06
Taman Ekspresi,2817.53,2012.54,2527.74,2753.26,1727.06,2379.99,1853.73,1874.51,2123.92,996.93,3686.25,3404.14,3945.98,2209.54,3757.43,0.0,10103.26,10757.32,11650.77,11107.59,9918.05,10393.48,8089.62,8530.36,7807.4,6461.32,2456.19,3304.22,4082.12,4159.82,2221.21,5378.24,6117.88,5877.77,3502.59,6025.95,3219.83,2960.12,4640.92,2610.08,4019.52,3865.76,3828.31,3865.76,2511.08,2186.11,5363.72,4585.74,7120.93,6226.97,8941.38
Jalan Raya Darmo Permai,8435.23,8795.02,8145.44,8370.97,8509.55,8333.04,8293.27,8647.94,8609.59,9108.55,7708.13,7426.01,7668.43,8640.38,6822.66,9329.3,0.0,654.06,1599.52,1056.33,819.65,481.02,4115.74,2033.31,2969.74,3960.79,9372.12,10685.5,10842.04,10373.0,8690.13,11712.72,8834.62,8594.51,10246.67,10616.64,11192.03,10187.56,11089.23,9951.0,11991.73,10288.61,10251.16,10288.61,10603.57,10990.27,6250.43,7113.43,6003.75,6695.44,7159.92
Graha Famili Timur,9084.45,9444.23,8794.66,9020.18,9158.76,8982.25,8942.49,9297.15,9258.8,9757.76,8357.34,8075.23,8317.65,9289.59,7471.87,9978.51,654.06,0.0,1642.74,1099.56,1468.86,692.05,4750.97,2682.53,3618.95,4610.0,10021.33,11334.72,11491.26,11022.22,9339.34,12361.93,9483.83,9243.72,10895.88,11265.85,11841.25,10836.77,11738.44,10600.21,12640.94,10937.82,10900.38,10937.82,11252.78,11639.49,6899.65,7762.65,6652.97,7344.65,7809.13
Spazio Jalan Yono Soewoyo,9930.67,10303.31,9640.88,9866.4,10017.84,9963.14,9801.56,10278.04,10239.69,10603.98,9203.56,8921.44,9163.87,10094.66,8178.96,10824.73,1949.09,2305.58,0.0,604.69,2449.75,2430.1,4972.39,3663.41,4599.84,5590.89,11002.22,12315.6,12472.14,12003.1,10320.23,13342.82,10464.72,10224.61,11876.77,12246.74,12529.63,11525.15,12339.67,11288.59,13329.32,11626.2,11588.75,11626.2,11941.16,12485.7,7880.53,8743.53,7633.85,8325.54,8790.02
Plaza Segi Delapan,9848.08,10220.73,9558.29,9783.81,9935.25,9880.56,9718.98,10195.45,10157.11,10521.4,9120.97,8838.86,9081.28,10012.08,8096.37,10742.15,1866.5,2223.0,543.18,0.0,2367.16,2347.52,4889.8,3580.83,4517.25,5508.31,10919.63,12233.02,12389.56,11920.52,10237.64,13260.24,10382.13,10142.02,11794.18,12164.16,12447.04,11442.56,12257.09,11206.01,13246.74,11543.62,11506.17,11543.62,11858.58,12403.12,7797.95,8660.95,7551.27,8242.96,8707.43
Jalan HR Muhammad,7870.44,8210.37,7580.66,7806.18,7924.89,7748.39,7708.62,8063.28,8024.93,8543.76,7143.34,6861.22,7103.65,8075.59,6546.94,8764.51,1361.87,1914.35,2528.82,1985.64,0.0,1722.11,3840.02,1448.66,2385.08,3376.13,8787.46,10100.85,10257.39,9788.35,8105.47,11128.06,8249.96,8009.85,9662.01,10031.99,10635.23,9630.75,10532.42,9394.19,11434.92,9731.8,9694.36,9731.8,10046.76,10425.48,5665.78,6528.78,5419.1,6110.78,6575.26
Taman Pradah Kalikendal,8916.25,9276.04,8626.46,8851.99,8990.57,8814.06,8774.29,9128.96,9090.61,9589.57,8189.15,7907.03,8149.45,9121.4,7303.68,9810.32,481.02,692.05,2080.54,1537.35,1300.67,0.0,4596.76,2514.33,3450.76,4441.81,9853.14,11166.52,11323.06,10854.02,9171.15,12193.74,9315.64,9075.53,10727.69,11097.66,11673.05,10668.58,11570.25,10432.02,12472.75,10769.63,10732.18,10769.63,11084.59,11471.29,6731.45,7594.45,6484.77,7176.46,7640.94
Kawasan Sukomanunggal,6236.89,6843.24,5947.1,6172.62,6557.77,6740.78,6341.49,7055.67,7017.33,6910.21,5509.78,5227.67,5701.98,6054.04,4386.84,7130.96,4640.74,5024.49,4858.16,4314.98,3822.79,5000.98,0.0,3934.78,4893.55,5274.76,7779.85,9093.24,9249.78,8780.74,7097.86,10120.46,8671.61,8431.5,8654.41,9594.99,8489.0,7484.52,8088.5,7247.96,9288.7,7585.58,7439.64,7585.58,7900.54,8505.06,6087.42,6164.3,7206.14,6700.63,8912.94
Jalan Raya Kupang Indah,7312.24,7681.19,7022.45,7247.97,7395.71,7219.21,7179.44,7534.1,7495.75,7985.55,6585.13,6303.02,6545.44,7517.38,6152.65,8206.3,2092.49,2746.54,3692.0,3148.82,2103.66,2382.71,4380.11,0.0,1855.9,2846.95,8258.28,9571.67,9728.21,9259.17,7576.29,10598.88,7720.78,7480.67,9132.83,9502.81,10077.02,9072.54,9974.22,8835.98,10876.72,9173.6,9136.15,9173.6,9488.56,9867.28,5136.6,5999.6,4889.92,5581.6,6046.08
Taman Makam Pahlawan Mayjen Sungkono,6129.91,6385.39,5840.12,6065.64,6099.92,5923.41,5883.64,6238.31,6199.96,6803.22,5402.8,5120.69,5363.11,6335.05,4970.32,7023.97,2654.72,3308.77,4254.23,3711.05,2665.89,2944.94,4838.31,1081.82,0.0,1551.16,6962.49,8275.87,8432.41,7963.37,6280.5,9303.09,6424.99,6184.88,7837.04,8207.01,8894.69,7890.21,8791.89,7653.65,9694.39,7991.27,7953.82,7991.27,8306.23,8684.95,3840.8,4703.8,3594.12,4285.81,4377.19
Ciputra World Surabaya,5857.4,5064.78,5567.61,5793.13,4779.31,4602.8,4563.03,4917.69,4879.35,6230.26,5130.29,4848.18,4293.21,6062.55,4697.82,6451.01,4044.82,4698.88,5644.34,5101.15,4056.0,4335.04,5303.37,2471.92,1748.96,0.0,5641.87,6955.26,7111.8,6642.76,4959.88,7982.48,5158.57,4918.46,6516.43,6940.59,8622.19,7617.71,8519.38,7381.15,9421.88,7718.76,7681.31,7718.76,8033.72,8019.11,2574.39,3383.19,2327.7,3019.39,4615.43
Kampus B Unair,4421.69,1813.81,4131.9,4357.42,3184.67,2096.49,2968.4,1300.69,1550.1,3071.24,4549.54,4267.43,3501.0,4545.98,4593.36,2650.96,9405.65,10059.71,11005.17,10461.98,9220.44,9695.87,7880.63,7832.75,7109.79,5763.71,0.0,1446.79,1667.48,1729.33,921.33,3024.49,3661.69,3421.58,1072.1,3595.46,5556.26,5296.56,6977.35,4946.52,6355.96,6202.2,6164.75,6202.2,4759.76,4115.65,4647.04,3737.85,6423.32,5529.36,7957.93
Jalan Dharmahusada,5316.28,2708.4,5026.49,5252.01,4079.27,2991.08,3862.99,2195.28,2444.69,3965.83,5444.13,5162.02,4395.59,5413.39,5487.95,3518.37,10552.87,11206.92,12152.38,11609.2,10367.66,10843.09,9027.85,8979.97,8257.0,6910.93,1403.59,0.0,1000.09,1691.03,1815.92,2357.1,3952.51,3712.4,1033.8,3557.15,6423.67,6163.97,7844.76,5813.93,7223.36,7069.6,7032.16,7069.6,5627.17,4983.06,5813.33,4906.51,7570.54,6676.57,9093.71
Taman Mojo,6063.82,3455.94,5774.03,5999.55,4826.8,3738.62,4610.53,2942.82,3192.23,4713.36,6191.67,5909.55,4972.54,6188.11,6235.49,4293.09,10550.8,11204.86,12150.32,11607.14,10365.6,10841.02,9025.78,8977.9,8254.94,6908.86,1665.08,1000.09,0.0,1489.9,2161.65,1357.02,3842.43,3602.32,923.72,2698.81,7198.39,6938.69,8619.48,6588.65,7998.08,7844.32,7806.87,7844.32,6401.89,5757.77,5786.48,4883.01,7568.47,6674.51,8983.63
Jalan Manyar Kertoarjo,6124.38,3516.5,5834.59,6060.11,4887.37,3799.18,4671.09,3003.38,3252.79,4773.93,6252.23,5970.12,4626.05,6248.67,6296.05,4353.65,9967.57,10621.63,11567.09,11023.9,9782.36,10257.79,8442.55,8394.67,7671.71,6325.63,1725.64,1714.71,1489.9,0.0,2222.21,1738.01,3215.64,2975.53,984.28,2820.29,7258.95,6999.25,8680.04,6649.21,8058.65,7904.89,7867.44,7904.89,6462.45,5818.34,5159.69,4299.78,6985.24,6091.28,8356.84
Kampus A Unair Kedokteran,4610.39,2002.5,4320.6,4546.12,3373.37,2285.19,3157.1,1489.38,1738.79,2806.46,4738.24,4456.12,3038.02,4188.94,4782.05,2293.92,8821.33,9475.38,10420.84,9877.66,8636.12,9111.55,7296.31,7248.43,6525.46,5179.39,854.66,2168.04,2324.58,2386.44,0.0,3681.6,4310.92,4070.81,1729.21,4252.56,5199.22,4939.52,6620.31,4589.47,5998.91,5845.15,5807.7,5845.15,4402.72,3758.6,4081.79,3153.53,5839.0,4945.03,7659.44
Jalan Kertajaya Indah,7450.27,4842.39,7160.48,7386.01,6213.26,5125.08,5996.98,4329.27,4578.68,6058.19,7578.12,7296.01,6195.4,7440.66,7621.94,5545.64,11536.92,12190.98,13136.44,12593.26,11351.72,11827.14,10011.91,9964.03,9241.06,7894.98,3318.4,2217.66,1653.32,2034.32,3814.97,0.0,4515.45,4275.34,2577.04,2205.12,8450.94,8191.24,9872.03,7841.2,9250.64,9096.88,9059.43,9096.88,7654.44,7010.33,6568.37,5869.13,8554.59,7509.69,9765.52
Taman Flora Bratang,7717.96,5479.82,7428.17,7653.69,5753.03,5150.27,5536.76,4966.7,5216.11,6737.24,7116.16,6834.04,5266.93,8048.41,7159.98,6316.97,8969.81,9623.87,10569.33,10026.14,8980.99,9260.03,8947.87,7396.91,6673.95,5571.7,3688.96,3957.32,3847.24,3232.19,4167.91,4555.22,0.0,270.29,3226.9,2603.46,9222.27,8962.57,10505.25,8612.52,10021.96,9704.63,9667.18,9704.63,8425.77,7781.65,3030.16,2987.41,5495.1,3971.48,5533.2
Taman Kebun Bibit Bratang,7477.85,5239.71,7188.06,7413.58,5512.92,4910.16,5296.65,4726.59,4976.0,6497.13,6876.05,6593.94,5026.82,7808.3,6919.87,6076.86,8729.7,9383.76,10329.22,9786.04,8740.88,9019.92,8707.76,7156.8,6433.84,5331.6,3448.85,3717.22,3607.14,2992.08,3927.8,4315.11,270.29,0.0,2986.79,2363.77,8982.16,8722.46,10265.14,8372.42,9781.85,9464.52,9427.07,9464.52,8185.66,7541.55,2790.05,2747.3,5254.99,3731.38,5803.48
Jalan Karang Menur,5151.84,2543.96,4862.05,5087.57,3914.82,2826.64,3698.55,2030.84,2280.25,3801.38,5279.69,4997.57,4060.55,5276.13,5323.51,3381.11,9638.82,10292.88,11238.34,10695.15,9453.61,9929.04,8113.8,8065.92,7342.96,5996.88,753.1,1101.11,991.03,1052.88,1249.67,2348.04,3314.36,3074.25,0.0,2919.01,6286.41,6026.71,7707.5,5676.66,7086.1,6932.34,6894.89,6932.34,5489.91,4845.79,4880.22,3971.03,6656.49,5762.53,8191.1
Kawasan Menur Pumpungan,7921.74,5354.47,7631.95,7857.47,5956.81,5150.36,5740.53,4841.35,5090.76,6611.9,7319.93,7037.82,5470.71,8086.64,7363.75,6191.62,10733.2,11387.26,12332.72,11789.54,10627.03,11023.42,9287.22,9160.31,8437.34,7170.3,3563.61,3486.34,2498.57,2827.54,4060.18,2448.73,2551.47,2311.36,2822.25,0.0,9096.92,8837.22,10518.01,8487.18,9896.62,9742.86,9705.41,9742.86,8300.42,7656.31,4793.55,4750.8,7258.49,5734.88,7807.03
Jembatan Merah Surabaya,3786.48,4521.72,3496.69,3722.21,4236.25,4889.18,4362.91,5026.71,5276.12,4218.11,4377.34,4095.23,6455.17,2450.66,4265.38,3361.67,11298.29,11952.35,11946.47,11403.28,10364.65,11588.51,8330.73,9725.4,9002.43,8705.77,5677.36,6525.4,7303.3,7381.0,5308.37,8599.41,9339.05,9098.94,6723.77,9247.12,0.0,679.73,2090.5,1119.86,1479.28,1915.0,2485.04,1915.0,1576.15,2458.76,7872.9,7311.07,9630.11,8736.15,11450.56
Kya-Kya Kembang Jepun,3422.51,4157.76,3132.72,3358.24,3872.28,4525.21,3998.95,4346.98,4596.39,3538.38,4013.38,3731.26,6091.2,2086.69,3901.41,2681.95,10934.33,11588.38,11582.5,11039.32,10000.69,11224.55,7966.76,9361.43,8638.46,8341.81,4997.63,5845.67,6623.57,6701.27,4628.64,7919.68,8659.32,8419.22,6044.04,8567.39,1004.48,0.0,2664.71,440.13,1804.17,2489.2,3059.25,2489.2,902.94,1779.04,7508.94,6947.1,9266.15,8372.19,11086.59
House of Sampoerna,4071.45,4806.69,3781.66,4007.18,4521.22,5174.15,4647.89,5733.91,5983.31,4677.76,4662.31,4380.2,6740.14,2735.63,4550.35,4068.87,11583.27,12069.78,11903.45,11360.27,10508.9,11873.49,8067.6,10010.37,9287.4,8990.75,6384.56,7232.6,8010.5,8088.2,6015.57,9306.61,10046.25,9806.14,7430.96,9954.32,2578.26,1573.78,0.0,1827.06,2493.44,918.52,722.03,918.52,2289.87,3165.96,8157.88,7596.04,9915.09,9021.12,11735.53
Stasiun Surabaya Kota (Semut),3081.53,3816.77,2791.74,3017.26,3531.3,4184.23,3657.97,4707.59,4957.0,3687.84,3672.39,3390.28,5750.22,1745.71,3560.43,3042.56,10593.35,11247.4,11241.52,10698.34,9659.71,10883.57,7625.78,9020.45,8297.48,8000.83,5358.25,6206.28,6984.18,7061.88,4989.26,8280.3,9019.94,8779.83,6404.65,8928.01,2241.28,1708.67,2685.54,0.0,3040.97,2510.04,3080.08,2510.04,1586.6,2157.68,7167.96,6606.12,8925.17,8031.2,10745.61
Kawasan Ampel Suci,4169.06,4904.31,3879.28,4104.8,4618.83,5271.76,4745.5,5301.82,5551.23,4493.22,4759.93,4477.81,6837.75,2833.24,4647.96,3636.79,11680.88,12334.94,12329.05,11785.87,10747.24,11971.1,8713.32,10107.98,9385.02,9088.36,5952.47,6800.51,7578.41,7656.11,5583.48,8874.52,9614.16,9374.05,6998.88,9522.23,756.48,1062.31,2024.96,1502.45,0.0,2297.58,2579.72,2297.58,1583.66,2733.87,8255.49,7693.65,10012.7,9118.74,11833.15
Taman Jayengrono,3203.38,3938.62,2913.59,3139.11,3653.15,4306.08,3779.81,4865.83,5115.24,3809.69,3794.24,3512.13,5872.06,1867.56,3682.28,3200.8,10715.19,11369.25,11363.37,10820.18,9781.55,11005.41,7747.63,9142.29,8419.33,8122.67,5516.49,6364.52,7142.42,7220.12,5147.5,8438.53,9178.18,8938.07,6562.89,9086.25,1710.18,705.7,989.38,958.99,2509.88,0.0,1365.71,0.0,1421.79,2297.89,7289.8,6727.96,9047.01,8153.05,10867.46
Jalan Rajawali,3719.08,4454.32,3429.29,3654.81,4168.85,4821.78,4295.52,5381.53,5630.94,4325.39,4309.94,4027.83,6387.77,2383.26,4197.98,3716.5,11030.21,11461.45,11295.12,10751.93,9900.57,11390.45,7459.26,9638.36,8935.03,8638.38,6032.19,6880.23,7658.12,7735.83,5663.2,8954.24,9693.88,9453.77,7078.59,9601.95,2225.89,1221.41,874.83,1474.69,3025.58,700.61,0.0,700.61,1937.5,2813.59,7805.5,7243.67,9562.72,8668.75,11383.16
Gedung Cerutu,3203.38,3938.62,2913.59,3139.11,3653.15,4306.08,3779.81,4865.83,5115.24,3809.69,3794.24,3512.13,5872.06,1867.56,3682.28,3200.8,10715.19,11369.25,11363.37,10820.18,9781.55,11005.41,7747.63,9142.29,8419.33,8122.67,5516.49,6364.52,7142.42,7220.12,5147.5,8438.53,9178.18,8938.07,6562.89,9086.25,1710.18,705.7,989.38,958.99,2509.88,0.0,1365.71,0.0,1421.79,2297.89,7289.8,6727.96,9047.01,8153.05,10867.46
Jalan Kembang Jepun Timur,4048.43,4357.99,3758.64,3984.16,4072.52,4725.45,4199.19,4123.03,4372.43,3342.39,4671.12,4389.0,6291.44,2744.43,4559.15,2485.96,11592.07,12246.13,12240.24,11697.06,10658.43,11882.29,8624.51,10019.17,9296.21,8806.78,4801.64,5649.68,6427.58,6505.28,4404.69,7723.69,8459.25,8219.14,5848.05,8371.4,1287.13,1027.43,2947.35,1467.56,2086.82,2771.85,3341.9,2771.85,0.0,1381.51,7709.18,6834.25,9466.39,8572.42,11286.83
Kawasan Kapasan,3642.21,3951.77,3352.42,3577.94,3666.3,4319.23,3792.97,3549.38,3798.79,2936.17,4319.08,4036.97,5749.68,2497.79,4312.51,2079.74,11342.6,11996.66,11993.6,11450.42,10411.79,11632.82,8377.86,9769.71,9046.74,8265.02,4356.5,5204.54,5982.44,6044.81,3831.04,7278.55,7885.6,7645.49,5387.58,7910.94,2127.45,1867.75,3787.68,2033.38,2927.14,3612.17,4116.56,3612.17,840.32,0.0,7167.42,6260.6,8924.63,8030.67,10745.08
Taman Bungkul,5947.75,4261.66,5657.96,5883.48,3982.82,3721.4,3766.55,3842.91,3997.95,5433.78,5345.95,5063.83,3496.72,6278.2,5165.29,5460.61,6390.41,7044.46,7989.92,7446.74,6401.58,6680.63,6383.85,4817.51,4094.54,2992.3,4199.85,5443.95,5333.87,4718.81,3866.07,6041.84,3005.11,2765.0,4713.52,4787.14,7954.44,7694.74,8735.03,7344.7,8754.14,7934.41,7896.97,7934.41,7245.69,6925.3,0.0,1512.82,2915.69,1203.32,3917.73
