,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Jalan Basuki Rahmat,3.895,3.889,3.882,3.889,3.92,3.938,3.778,3.163,3.75,3.333,3.917,4.0,0.0,4.0,3.455,3.0,3.087,2.929,2.078,2.048,2.413,2.694,2.043,3.0,2.846,2.471,3.307,3.127,2.944,3.289,3.094,3.393,3.013,3.007,3.411,2.48,3.118,3.509,3.112,3.775,3.03,3.516,4.0,3.516,3.733,3.425,3.991,2.562,2.993,4.435,3.745
Monumen Tugu Pahlawan,3.969,3.95,3.967,3.968,3.974,3.978,3.875,2.964,3.837,3.0,1.817,1.776,2.68,0.0,2.058,2.7,3.192,3.065,2.13,2.107,1.935,2.884,2.42,3.129,3.04,2.725,3.12,2.982,2.82,3.159,2.93,3.279,3.62,3.615,3.259,3.1,2.189,2.5,2.268,3.042,2.189,2.729,4.0,2.729,3.238,2.597,3.804,3.454,3.107,4.176,3.692
Jalan Kedungdoro,3.094,3.354,2.964,3.033,3.341,3.5,3.229,2.757,3.348,2.643,2.5,2.438,2.714,3.653,0.0,2.426,3.437,3.243,2.0,1.964,1.738,3.0,1.896,3.355,3.269,2.794,2.951,2.837,2.678,3.049,2.756,3.194,3.547,3.541,3.142,3.013,2.911,3.255,2.916,3.5,2.84,3.283,3.769,3.283,3.5,3.14,4.371,3.402,3.287,4.79,3.979
Taman Ekspresi,2.963,2.682,2.88,2.923,2.6,2.963,2.545,2.5,2.545,1.833,2.639,2.629,3.333,3.268,2.551,0.0,3.047,2.942,2.125,2.106,2.314,2.781,2.704,2.989,2.894,2.829,2.875,2.729,2.524,3.045,2.571,3.236,3.16,3.153,3.181,3.0,2.453,2.618,2.298,2.617,2.412,3.019,3.554,3.019,2.685,3.559,3.259,2.594,3.299,3.701,3.283
Jalan Raya Darmo Permai,2.629,3.246,2.605,2.617,3.239,2.891,3.144,2.866,2.925,2.57,2.55,2.546,2.308,2.846,2.28,2.528,0.0,1.5,3.438,3.538,2.6,1.5,1.929,3.528,3.711,3.577,2.988,2.965,2.81,3.146,3.019,3.0,3.935,3.929,3.016,3.157,2.304,2.361,2.321,2.402,2.298,2.403,2.554,2.403,2.472,2.75,3.719,2.819,3.051,4.073,2.388
Graha Famili Timur,2.599,3.123,2.577,2.588,3.114,2.81,3.026,2.786,2.843,2.546,2.525,2.521,2.303,2.805,2.277,2.507,1.5,0.0,2.441,2.321,2.425,1.5,1.94,3.071,3.207,3.208,2.911,2.9,2.761,3.061,2.932,2.938,3.741,3.736,2.942,3.076,2.301,2.353,2.317,2.392,2.295,2.394,2.534,2.394,2.457,2.719,3.466,2.735,2.915,3.792,2.372
Spazio Jalan Yono Soewoyo,2.727,2.333,2.705,2.716,2.314,2.946,2.237,2.926,2.971,2.665,2.656,2.653,2.423,2.295,2.247,2.619,3.421,2.944,0.0,3.0,2.958,2.96,2.163,3.391,3.5,3.45,3.02,2.996,2.857,3.155,3.049,3.024,3.824,3.819,3.042,3.164,2.201,2.248,2.756,2.286,2.201,2.298,2.454,2.298,2.368,2.824,3.605,2.896,3.087,3.899,2.517
Plaza Segi Delapan,2.725,2.328,2.703,2.714,2.308,2.945,2.231,2.925,2.971,2.663,2.653,2.65,2.417,2.288,2.238,2.616,3.444,2.942,3.0,0.0,2.957,2.958,2.147,3.403,3.516,3.462,3.02,2.996,2.856,3.156,3.049,3.024,3.833,3.828,3.042,3.165,2.196,2.242,2.754,2.28,2.196,2.293,2.45,2.293,2.364,2.822,3.615,2.894,3.089,3.912,2.511
Jalan HR Muhammad,2.926,3.127,2.901,2.914,3.115,2.746,3.008,2.714,2.79,2.833,2.846,2.844,2.525,3.144,2.18,2.763,2.727,2.174,2.159,2.026,0.0,2.107,1.726,3.036,3.3,3.273,2.877,2.87,2.713,3.054,2.899,2.916,3.863,3.856,2.917,3.071,2.9,3.047,2.903,3.133,2.863,3.068,3.266,3.068,3.159,2.992,3.58,2.639,2.856,3.98,2.229
Taman Pradah Kalikendal,2.574,3.11,2.55,2.562,3.1,2.78,3.007,2.753,2.816,2.52,2.496,2.491,2.265,2.789,2.236,2.481,1.5,1.5,2.909,2.895,2.188,0.0,1.887,3.021,3.18,3.188,2.89,2.882,2.739,3.049,2.911,2.923,3.759,3.753,2.925,3.065,2.274,2.325,2.292,2.363,2.27,2.368,2.51,2.368,2.432,2.702,3.472,2.695,2.882,3.82,2.323
Kawasan Sukomanunggal,2.538,2.566,2.492,2.515,2.534,3.175,2.384,3.155,3.197,2.444,2.381,2.371,2.293,2.514,2.158,2.383,1.935,1.959,2.038,1.98,1.716,1.838,0.0,1.864,2.121,1.706,3.226,3.159,2.973,3.375,3.288,3.177,3.784,3.778,3.232,2.771,2.307,2.398,2.505,2.469,2.298,2.462,2.656,2.462,2.572,2.44,3.534,2.614,2.651,4.0,1.792
Jalan Raya Kupang Indah,2.918,3.211,2.892,2.905,3.203,2.855,3.106,2.828,2.89,2.822,2.833,2.831,2.5,3.143,2.905,2.75,4.115,3.2,3.741,3.827,3.75,2.409,2.133,0.0,3.579,3.481,2.959,2.94,2.786,3.12,2.987,2.977,3.903,3.896,2.989,3.132,2.894,3.044,2.897,3.132,2.857,3.066,3.268,3.066,3.159,2.987,3.667,2.776,3.0,4.027,2.355
Taman Makam Pahlawan Mayjen Sungkono,2.936,2.982,2.904,2.92,2.963,2.519,2.824,2.471,2.586,2.82,2.833,2.831,2.418,3.194,2.924,2.735,3.423,2.75,3.431,3.481,3.107,2.0,2.139,3.0,0.0,2.682,2.721,2.741,2.572,2.944,2.73,2.807,3.863,3.855,2.785,2.971,2.902,3.073,2.905,3.176,2.859,3.096,3.329,3.096,3.203,3.01,3.485,2.326,2.529,4.013,1.705
Ciputra World Surabaya,2.851,2.868,2.819,2.836,2.843,2.373,2.688,2.316,2.455,2.705,2.746,2.742,2.705,3.117,2.825,2.612,3.032,2.75,3.17,3.182,2.906,2.337,1.831,2.85,2.375,0.0,2.619,2.659,2.489,2.865,2.617,2.737,3.795,3.786,2.697,2.858,2.855,3.013,2.859,3.108,2.817,3.038,3.259,3.038,3.139,3.562,3.259,2.125,2.107,3.926,2.026
Kampus B Unair,3.128,3.375,3.081,3.105,3.467,3.222,3.259,3.545,3.462,3.321,3.595,3.611,3.394,3.702,3.444,2.797,3.314,3.192,3.332,3.341,2.515,3.028,3.552,3.26,3.198,3.169,0.0,3.125,2.227,3.0,3.1,2.073,3.294,3.284,3.409,2.947,3.125,3.31,2.993,3.356,3.031,3.414,3.773,3.414,3.276,3.491,3.176,3.443,3.651,4.074,2.913
Jalan Dharmahusada,3.047,3.117,3.01,3.029,3.261,3.047,3.11,3.14,3.13,3.155,3.382,3.39,3.223,3.429,3.27,2.822,3.01,2.912,3.068,3.07,2.314,2.759,3.203,2.955,2.861,2.796,2.906,0.0,1.5,1.931,2.938,1.75,2.46,2.452,1.738,2.312,3.051,3.172,2.956,3.198,2.986,3.273,3.529,3.273,3.154,3.283,3.18,2.862,3.234,3.604,2.534
Taman Mojo,2.805,2.72,2.766,2.786,2.936,2.686,2.798,2.681,2.697,2.84,3.073,3.074,2.667,3.274,2.975,2.579,3.053,2.963,3.1,3.102,2.407,2.825,3.226,3.004,2.927,2.878,2.426,1.5,0.0,1.556,2.133,1.895,2.525,2.517,1.794,2.47,2.912,3.023,2.822,3.042,2.857,3.151,3.405,3.151,3.011,3.123,2.714,2.986,3.256,3.571,2.571
Jalan Manyar Kertoarjo,3.097,3.179,3.067,3.082,3.283,3.122,3.16,3.206,3.194,3.196,3.383,3.39,3.473,3.513,3.288,2.9,3.143,3.04,3.182,3.186,2.433,2.89,3.342,3.091,3.016,2.971,3.12,1.984,1.556,0.0,2.732,1.947,2.459,2.449,2.867,2.25,3.105,3.238,3.005,3.268,3.034,3.332,3.602,3.332,3.217,3.361,2.694,3.131,3.395,3.757,2.544
Kampus A Unair Kedokteran,3.152,3.348,3.114,3.133,3.432,3.24,3.265,3.444,3.4,2.31,3.545,3.558,3.067,3.686,3.419,2.558,3.182,3.054,3.223,3.23,2.343,2.872,3.44,3.119,3.027,2.969,2.5,2.708,2.19,2.75,0.0,2.073,2.892,2.885,2.889,2.811,3.061,3.254,2.921,3.302,2.966,3.38,3.768,3.38,3.221,3.45,3.567,3.207,3.533,4.036,3.443
Jalan Kertajaya Indah,3.413,3.641,3.396,3.404,3.625,3.573,3.535,3.72,3.686,3.074,3.679,3.689,3.627,3.63,3.598,3.197,3.25,3.147,3.273,3.28,2.547,3.004,3.446,3.203,3.144,3.114,2.1,2.056,1.717,1.761,1.953,0.0,2.365,2.356,1.75,2.38,3.266,3.392,3.174,3.423,3.193,3.45,3.689,3.45,3.368,3.505,2.433,3.309,3.511,2.68,2.378
Taman Flora Bratang,3.451,3.457,3.435,3.443,3.596,3.281,3.5,3.492,3.478,3.427,3.645,3.656,3.58,3.764,3.557,3.227,3.554,3.377,3.533,3.552,3.493,3.163,3.337,3.486,3.437,2.8,3.5,2.347,2.409,2.442,2.869,2.864,0.0,1.75,2.81,2.095,3.278,3.389,3.292,3.416,3.213,3.544,3.804,3.544,3.368,3.486,3.382,3.212,3.264,3.622,2.288
Taman Kebun Bibit Bratang,3.444,3.45,3.428,3.436,3.588,3.272,3.491,3.485,3.47,3.421,3.637,3.648,3.57,3.758,3.549,3.221,3.547,3.37,3.528,3.546,3.487,3.157,3.331,3.479,3.429,2.792,3.491,2.339,2.4,2.43,2.861,2.855,1.75,0.0,2.798,2.122,3.274,3.385,3.288,3.412,3.209,3.54,3.799,3.54,3.364,3.482,3.368,3.197,3.255,3.611,2.27
Jalan Karang Menur,3.184,3.385,3.149,3.167,3.45,3.286,3.297,3.476,3.435,3.342,3.553,3.565,3.09,3.657,3.435,2.94,3.278,3.16,3.3,3.308,2.5,3.0,3.506,3.224,3.159,3.127,3.5,2.0,2.105,3.0,2.7,2.0,2.94,2.93,0.0,2.943,3.159,3.322,3.041,3.362,3.072,3.412,3.729,3.412,3.292,3.477,3.116,3.373,3.593,4.0,2.885
Kawasan Menur Pumpungan,3.361,3.259,3.344,3.353,3.469,3.282,3.379,3.284,3.274,3.257,3.521,3.529,3.44,3.5,3.442,3.028,3.291,3.171,3.311,3.32,2.434,3.009,3.325,3.237,3.172,2.96,3.25,2.329,2.133,2.682,3.0,2.615,2.306,2.29,3.172,0.0,3.156,3.272,3.069,3.298,3.092,3.347,3.578,3.347,3.252,3.375,3.009,2.904,3.025,3.225,2.341
Jembatan Merah Surabaya,3.336,3.405,3.311,3.324,3.402,3.463,3.357,3.31,3.3,2.411,2.644,2.638,3.56,2.957,2.636,2.583,3.183,3.086,2.337,2.323,2.181,2.948,2.638,3.136,3.072,2.829,2.655,2.624,2.538,2.782,3.305,2.91,2.916,2.912,2.814,2.801,0.0,1.5,1.84,1.921,1.72,1.94,2.266,1.94,2.062,2.179,3.485,3.222,3.478,3.736,3.432
Kya-Kya Kembang Jepun,3.337,3.422,3.305,3.321,3.418,3.491,3.363,3.78,3.75,2.653,2.491,2.481,3.599,2.761,2.442,2.986,3.165,3.059,2.246,2.229,2.076,2.906,2.548,3.113,3.038,2.773,2.902,2.826,2.709,2.988,3.765,3.109,3.08,3.076,3.048,2.97,1.861,0.0,2.018,2.833,1.962,2.107,2.371,2.107,3.167,2.519,3.506,3.207,3.495,3.786,3.441
House of Sampoerna,3.555,3.595,3.538,3.546,3.598,3.64,3.548,3.572,3.556,2.99,2.826,2.823,3.705,3.3,2.855,3.0,3.287,2.422,2.482,2.47,2.053,3.044,2.138,3.241,3.188,2.929,2.931,2.868,2.77,2.995,3.564,3.095,3.073,3.069,3.043,2.979,2.325,2.705,0.0,2.98,2.554,1.75,1.679,1.75,3.081,2.733,3.608,3.343,3.584,3.847,3.518
Stasiun Surabaya Kota (Semut),3.597,3.648,3.574,3.586,3.655,3.704,3.58,3.522,3.5,2.683,2.564,2.554,3.773,3.094,2.528,2.467,3.25,3.131,2.26,2.242,2.08,2.967,2.593,3.195,3.124,2.827,2.616,2.582,2.48,2.783,3.511,2.937,2.939,2.935,2.824,2.805,2.308,1.917,2.019,0.0,2.279,2.115,2.394,2.115,2.929,2.109,3.641,3.312,3.606,3.927,3.525
Kawasan Ampel Suci,3.205,3.283,3.178,3.192,3.276,3.345,3.239,3.325,3.315,2.427,2.59,2.585,3.455,2.817,2.574,2.604,3.124,3.035,2.323,2.31,2.173,2.904,2.604,3.079,3.014,2.79,2.669,2.635,2.549,2.793,3.32,2.919,2.924,2.92,2.826,2.81,1.676,1.658,1.769,1.94,0.0,1.952,1.802,1.952,2.238,2.205,3.398,3.152,3.403,3.645,3.373
Taman Jayengrono,3.884,3.882,3.878,3.881,3.898,3.911,3.824,3.825,3.797,3.189,2.926,2.925,3.93,3.783,2.988,3.179,3.393,3.273,2.424,2.411,2.254,3.116,2.801,3.343,3.293,2.991,3.029,2.943,2.826,3.08,3.81,3.182,3.143,3.139,3.144,3.047,2.304,3.1,1.8,3.538,2.278,0.0,1.778,3.0,3.526,2.864,3.782,3.477,3.728,4.031,3.625
Jalan Rajawali,3.979,3.964,3.978,3.978,3.981,3.983,3.909,3.902,3.873,3.366,3.069,3.07,3.987,3.963,3.16,3.337,2.136,2.504,2.574,2.564,2.103,2.094,2.209,2.338,3.365,3.062,3.139,3.042,2.922,3.163,3.887,3.252,3.203,3.199,3.232,3.117,2.641,3.643,1.75,3.882,2.55,3.357,0.0,3.357,3.783,3.095,3.837,3.544,3.776,4.07,3.667
Gedung Cerutu,3.884,3.882,3.878,3.881,3.898,3.911,3.824,3.825,3.797,3.189,2.926,2.925,3.93,3.783,2.988,3.179,3.393,3.273,2.424,2.411,2.254,3.116,2.801,3.343,3.293,2.991,3.029,2.943,2.826,3.08,3.81,3.182,3.143,3.139,3.144,3.047,2.304,3.1,1.8,3.538,2.278,3.0,1.778,0.0,3.526,2.864,3.782,3.477,3.728,4.031,3.625
Jalan Kembang Jepun Timur,3.089,2.632,3.058,3.074,2.6,2.758,2.579,4.316,4.265,2.404,2.556,2.549,3.0,2.823,2.529,2.652,3.153,3.055,2.289,2.274,2.129,2.913,2.584,3.105,3.035,2.757,2.712,2.664,2.558,2.848,4.29,2.989,3.758,3.753,2.894,2.857,1.833,1.833,1.984,2.167,1.931,2.065,2.316,2.065,0.0,2.095,3.005,3.646,3.07,3.324,3.104
Kawasan Kapasan,2.957,2.453,2.92,2.939,2.412,2.603,2.396,3.902,3.86,2.163,2.448,2.439,3.698,3.028,2.688,2.328,2.756,2.694,2.359,2.345,2.203,2.58,2.665,2.713,2.625,3.175,3.5,3.282,3.081,3.492,3.881,3.507,3.506,3.5,3.638,3.359,1.863,1.871,1.95,2.409,1.917,2.0,3.352,2.0,1.895,0.0,3.578,3.345,3.554,3.875,3.483
Taman Bungkul,3.274,3.106,3.245,3.26,3.423,3.075,3.264,4.488,3.114,3.133,3.511,3.523,3.359,3.711,4.217,4.434,3.324,3.103,3.351,3.367,3.24,2.817,3.447,3.22,3.075,2.107,3.237,2.539,2.597,2.658,3.976,2.944,3.622,3.608,2.924,2.468,2.922,3.054,3.183,3.079,2.857,3.463,3.77,3.463,3.127,4.429,0.0,2.818,2.688,4.464,3.033
Jalan Raya Darmo (CFD),3.094,2.671,3.054,3.074,3.191,2.518,2.984,2.423,2.641,2.461,3.321,3.329,3.056,3.614,3.171,3.754,3.382,3.155,3.396,3.414,3.298,2.867,3.024,3.28,3.15,2.179,2.841,2.839,2.594,3.145,2.878,2.914,3.2,3.186,2.915,2.183,2.788,2.913,3.098,2.931,2.733,3.378,3.696,3.378,2.976,3.951,2.125,0.0,2.781,3.685,2.992
Kebun Binatang Surabaya,3.649,3.889,3.636,3.643,3.907,3.349,3.8,3.329,3.362,3.547,2.574,2.569,3.944,2.917,2.625,3.356,2.951,2.74,3.088,3.093,2.857,2.41,2.132,2.812,2.483,1.558,3.364,2.821,2.879,2.968,3.462,3.154,3.25,3.723,3.173,2.815,3.184,3.34,2.747,3.378,3.1,2.885,3.064,2.885,3.437,4.099,3.455,3.278,0.0,4.0,2.632
Patung Suro dan Boyo,4.462,3.842,4.48,4.471,3.861,3.194,3.727,3.162,3.225,3.457,4.556,4.591,3.897,4.361,4.854,3.25,3.838,3.466,3.717,3.76,3.711,3.076,3.759,3.708,3.673,1.864,3.26,3.164,2.81,2.903,3.356,3.127,3.841,3.83,3.144,2.725,3.1,3.973,3.602,3.299,3.017,3.953,4.289,3.953,3.359,4.096,2.967,2.975,2.625,0.0,3.114
Kawasan Kampus Ketintang Unesa,3.181,3.254,3.16,3.171,3.246,2.899,3.152,3.767,2.932,3.089,3.723,3.732,3.194,3.8,3.835,2.988,2.917,2.791,3.011,3.012,2.863,2.586,2.371,2.69,1.765,1.841,3.099,2.63,2.673,2.723,3.479,2.913,2.541,2.516,2.896,2.572,2.947,3.043,3.384,3.06,2.897,3.608,3.828,3.608,3.093,3.996,2.75,2.833,2.854,2.737,0.0
